file_name,transcript
data/0_22ad1852391111ed927b0603bdd00153.wav,"I didn't know. No no no, I mean, the, let me finish. Ok. Mr. Speaker will call you. No, I am saying that we should guide the new members "
data/1_37b9db72391111ed927b0603bdd00153.wav,"So that we get actual amount. Any amount we corrected should go to Bank of Ghana so you can know exactly, amount that is in the bank of Ghana. Mr Speaker, with a few words, I second the motion."
data/2_077cb7e0391111ed82750603bdd00153.wav,"Remember that when members ask questions, they will indicate to you that I am entitled to three supplementary questions. They are not. In fact this order refers to substantive questions. So if the Speaker may permit a member "
data/3_2cf3cda0391211ed8d4a0603bdd00153.wav,With this few words it should be with this.A few words.I was respectfully Mr Speaker.Call I'm 16.Miss Esla also.Akuffo.You have miss and you.
data/4_d8fe79a6391211ed82750603bdd00153.wav,"[inaudible] Yes Minister, thank you so much Mr Speaker. The National Youth for Authority have their programme of activities for every year."
data/5_ed3ef73a391011ed82750603bdd00153.wav,Honourable member and I have different content of investigation. He chooses to use investigation when the ducket is with the attorney general ident he chooses to use investigation when people are before court
data/6_684b5af8391211ed8b5f0603bdd00153.wav,"The tax, cash, loans, payroll, stores and procurement, rent and contract irregularities were the areas the Auditor General "
data/7_bf49ba72391011ed8b5f0603bdd00153.wav,The Ghana hydrological authority bill. Mr speaker the purpose of the document before us is to establish a Ghana hydrological authority 
data/8_fa33fea0390f11ed9c490603bdd00153.wav,Which is circumposent to the Ghana accountability for learning [inaudible] projects. Will be last this year and implemented over a 4 year period. Errm which is between 2022 and 2025. The [inaudible] health program.
data/9_a362214e391211ed82750603bdd00153.wav,We the entire house should be concerned I understand the meeting that is to be called involving the Ministry of Finance and the this assembly's common front
data/10_35ab81f4391211ed8d4a0603bdd00153.wav,"Twice I can recall two occasions I think we should link, I think we should link yet overly on this matter, you have a genius course yes I agree with you that ministeries should show deference to this house.."
data/11_2c9c007a391211edb71e0603bdd00153.wav,"Good information [inaudible], Mr Speaker, we have made statement about [inaudible] year before. It's a one moment that we all drop our religion, our tribes, our political affiliations and unite"
data/12_df004146391111edb71e0603bdd00153.wav,"Savannah region the north east, nothing proper aqua west, aqua east are we saying that these are the areas where we can discover the food basket of this country. There's no doubt about it."
data/13_e1692368391011ed8d4a0603bdd00153.wav,"Rt Honorable Speaker has not admitted any question from honorable [Inaudible], for the records. I don't want you to create the impression that, Mr Speaker has admitted his question, pass it on to business"
data/14_46ffc778391011ed8b5f0603bdd00153.wav,"For consistency, Mr Speaker, you notice that Mr. [Inaudible] is Mr. is with the [Inaudible], but the "
data/15_2b1b363c391011ed9c490603bdd00153.wav,Mr. Speaker the proposal on gifted and talented education programs is currently under consideration in cabinet. Thank you. 
data/16_eb0adf92391011ed8d4a0603bdd00153.wav,Kennedy ajapaul. I understand that there is been back and forth as the zoom or virtual or in person sitting. Our recommendation is that you check the appointment’s committee. we sat in person and I will think that
data/17_46800a4c391011edb71e0603bdd00153.wav,"Item 14, item number 14. But I was expecting that [inaudible]. The court of the appointment committee, the failed report of the appointment committee."
